ion,hydrochloricAcid,hotWater,sulfuricAcid,potassiumChromate,ammonia,nitricAcid
lead,pptWhite,dissolve,pptWhite,pptYellow,none,none
silver,pptWhite,none,none,none,pptBlack,none
mercury,pptWhite,none,none,none,none,pptWhite
